category_id,name,path,depth,is_leaf,selection_score,rotation_bucket,previous_last_scanned_at,previous_scan_count,products_examined,candidate_count,scan_completed_at,scan_status,scan_error,category_total_sales,category_median_reviews,category_top10_median_reviews,category_top_brand,category_top_brand_share,category_top10_sales_share,category_low_review_high_sales_count,category_new_listing_share_12m,category_cn_hk_seller_share,category_fba_share,category_price_median,category_health_score,category_health_flags,category_health_rank
678505011,Potato Ricers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Fruit & Vegetable Tools > Potato Mashers & Ricers > Potato Ricers,5,True,40.0,never_scanned,,0,100,11,2026-09-02T22:38:09,success,,18662.0,66.0,1916.0,SPEENSUN,0.2,0.763,0,0.39,0.56,0.75,16.98,66.6,top10 review wall; sales concentration,65
678508011,Digital Scales,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Measuring Tools & Scales > Kitchen Scales > Digital Scales,5,True,40.0,never_scanned,,0,100,18,2026-09-02T22:38:09,success,,447909.0,1892.0,15272.0,Etekcity,0.1,0.654,13,0.212,0.66,1.0,19.49,64.8,category review wall; top10 review wall,72
678509011,Mechanical Scales,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Measuring Tools & Scales > Kitchen Scales > Mechanical Scales,5,True,40.0,never_scanned,,0,100,1,2026-09-02T22:38:09,success,,4539.0,14.0,183.0,TADA,0.4,0.672,0,0.182,0.46,0.59,44.75,57.1,brand concentration,89
17548248011,Electric Pasta Makers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Pasta & Pizza Tools > Pasta Makers & Accessories > Electric Pasta Makers,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:09,success,,3646.0,12.0,224.0,Philips Kitchen Appliances,0.2,0.494,0,0.4,0.69,0.61,79.99,74.4,,32
17548249011,Manual Pasta Makers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Pasta & Pizza Tools > Pasta Makers & Accessories > Manual Pasta Makers,5,True,40.0,never_scanned,,0,100,10,2026-09-02T22:38:09,success,,25966.0,156.0,3746.0,KitchenAid,0.1,0.491,1,0.25,0.61,0.98,20.98,72.3,top10 review wall,41
289760,Cheese Slicers,"Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Peeling, Grating & Slicing Tools > Mandolines & Slicers > Cheese Slicers",5,True,40.0,never_scanned,,0,100,15,2026-09-02T22:38:09,success,,36928.0,196.0,3456.0,BOSKA,0.2,0.503,1,0.303,0.66,0.98,13.25,73.8,top10 review wall,33
17548242011,Egg Slicers,"Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Peeling, Grating & Slicing Tools > Mandolines & Slicers > Egg Slicers",5,True,40.0,never_scanned,,0,100,9,2026-09-02T22:38:09,success,,55854.0,142.0,2456.0,REDSETS,0.1,0.568,3,0.355,0.77,0.87,9.99,79.8,top10 review wall; price band outside target,20
23616035011,Mandolines,"Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Peeling, Grating & Slicing Tools > Mandolines & Slicers > Mandolines",5,True,40.0,never_scanned,,0,100,31,2026-09-02T22:38:09,success,,218972.0,1135.0,11705.0,fullstar,0.2,0.581,6,0.2,0.52,0.99,23.99,64.1,category review wall; top10 review wall,75
678514011,Choppers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Choppers & Mincers > Choppers,5,True,40.0,never_scanned,,0,100,12,2026-09-02T22:38:09,success,,127684.0,690.0,11046.0,OXO,0.2,0.619,4,0.121,0.68,0.95,16.99,56.1,top10 review wall,93
678515011,Mincers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Choppers & Mincers > Mincers,5,True,40.0,never_scanned,,0,42,0,2026-09-02T22:38:09,success,,404.0,0.0,0.0,Generic,0.3,0.604,0,0.452,0.5,0.119,9.6,68.4,price band outside target,54
678516011,Garlic Keepers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Garlic Tools > Garlic Keepers,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:09,success,,13215.0,54.0,789.0,Ortarco,0.1,0.579,0,0.424,0.65,0.97,18.99,72.9,,38
678517011,Garlic Peelers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Garlic Tools > Garlic Peelers,5,True,40.0,never_scanned,,0,100,1,2026-09-02T22:38:09,success,,12533.0,7.0,276.0,YOLCAR,0.2,0.853,1,0.54,0.58,0.63,5.24,64.6,sales concentration; price band outside target,74
678518011,Garlic Presses,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Garlic Tools > Garlic Presses,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:09,success,,87289.0,300.0,10288.0,Zulay Kitchen,0.2,0.514,9,0.343,0.63,0.9,7.99,84.8,top10 review wall; price band outside target,13
678519011,Garlic Roasters,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Garlic Tools > Garlic Roasters,5,True,40.0,never_scanned,,0,59,1,2026-09-02T22:38:09,success,,1316.0,9.0,77.0,AOKDEER,0.2,0.768,0,0.169,0.186,0.373,0.0,51.7,sales concentration,97
15850251,Pepper Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Pepper Mills,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,81360.0,397.0,2156.0,CIRCLE JOY,0.3,0.557,6,0.175,0.59,0.96,17.49,73.2,top10 review wall,36
15850291,Pepper Shakers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Pepper Shakers,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,36204.0,31.0,898.0,Brighter Barns,0.2,0.84,1,0.347,0.55,0.79,9.99,68.0,sales concentration; price band outside target,58
15850261,Salt & Pepper Mill Sets,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt & Pepper Mill Sets,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,131122.0,925.0,3788.0,CIRCLE JOY,0.3,0.507,9,0.235,0.73,0.99,25.99,68.9,top10 review wall,52
15850301,Salt & Pepper Shaker Sets,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt & Pepper Shaker Sets,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,104616.0,546.0,8928.0,HOME EC,0.2,0.469,9,0.093,0.43,0.99,12.99,67.1,top10 review wall,62
15850271,Salt Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,43624.0,47.0,1714.0,HOME EC,0.1,0.887,3,0.163,0.18,0.85,38.18,66.1,top10 review wall; sales concentration,66
15850311,Salt Shakers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Shakers,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,75658.0,416.0,2824.0,Brighter Barns,0.1,0.441,2,0.172,0.65,1.0,9.98,63.5,top10 review wall; price band outside target,77
12900921,Index Card Storage,Office Products > Office Supplies > Education & Crafts > Filing Products > Index Card Filing > Index Card Storage,5,True,40.0,never_scanned,,0,100,13,2026-09-02T22:38:10,success,,73798.0,74.0,1049.0,H4D,0.4,0.544,12,0.34,0.84,0.98,10.49,87.7,brand concentration; price band outside target,9
